algorithm,length,t
insertionsort,25,0.0012876500113634393
insertionsort,25,0.0016861780022736639
insertionsort,25,0.0029505790007533506
insertionsort,25,0.002972764996229671
insertionsort,25,0.003162913999403827
insertionsort,25,0.003155141996103339
insertionsort,25,0.0030436029919655994
insertionsort,50,0.0063162049918901175
insertionsort,50,0.005318330993759446
insertionsort,50,0.004760640993481502
insertionsort,50,0.0048784950049594045
insertionsort,50,0.004797803005203605
insertionsort,50,0.005873318004887551
insertionsort,50,0.010657856008037925
insertionsort,50,0.010441938997246325
insertionsort,50,0.005704733994207345
insertionsort,50,0.008672234005643986
insertionsort,100,0.03321103300550021
insertionsort,100,0.019294083991553634
insertionsort,100,0.031085829992662184
insertionsort,100,0.026538381003774703
insertionsort,100,0.030714909997186624
insertionsort,100,0.020310436986619607
insertionsort,100,0.03256268400582485
insertionsort,100,0.023991013993509114
insertionsort,100,0.030379192001419142
insertionsort,100,0.028457268999773078
insertionsort,150,0.05467297899303958
insertionsort,150,0.05176157000823878
insertionsort,150,0.05440733399882447
insertionsort,150,0.06322661798913032
insertionsort,150,0.05428525499883108
insertionsort,150,0.04932159199961461
insertionsort,150,0.06964971699926537
insertionsort,150,0.05624668599921279
insertionsort,150,0.0489135690004332
insertionsort,150,0.05302563600707799
insertionsort,200,0.1651512999960687
insertionsort,200,0.11120335200394038
insertionsort,200,0.10636550000344869
insertionsort,200,0.08986251099850051
insertionsort,200,0.10226294500171207
insertionsort,200,0.11455259298963938
insertionsort,200,0.1266141929954756
insertionsort,200,0.10506367500056513
insertionsort,200,0.12512815800437238
insertionsort,200,0.09633597500214819
insertionsort,250,0.16158505399653222
insertionsort,250,0.15994499300722964
insertionsort,250,0.1602955710113747
insertionsort,250,0.16492667300917674
insertionsort,250,0.18554303199925926
insertionsort,250,0.18603285899735056
insertionsort,250,0.1466216460103169
insertionsort,250,0.16144773100677412
insertionsort,250,0.1343552660109708
insertionsort,250,0.15713032300118357
insertionsort,300,0.2176751980005065
insertionsort,300,0.2106867200054694
insertionsort,300,0.198684784991201
insertionsort,300,0.1963368840079056
insertionsort,300,0.22205598700384144
insertionsort,300,0.23920461800298654
insertionsort,300,0.21465825200721156
insertionsort,300,0.1887210650020279
insertionsort,300,0.19065865699667484
insertionsort,300,0.21484262599551585
insertionsort2,10,0.0006339009996736422
insertionsort2,10,0.000542901994776912
insertionsort2,10,0.0005343469965737313
insertionsort2,10,0.000646107000648044
insertionsort2,10,0.0008938320097513497
insertionsort2,10,0.0012085280031897128
insertionsort2,10,0.0011941129923798144
insertionsort2,10,0.0011298720055492595
insertionsort2,10,0.001117217994760722
insertionsort2,10,0.001082097995094955
insertionsort2,25,0.0029989610047778115
insertionsort2,25,0.0035068380093434826
insertionsort2,25,0.002057905003312044
insertionsort2,25,0.0017737529997248203
insertionsort2,25,0.0021045359899289906
insertionsort2,25,0.0015918319986667484
insertionsort2,25,0.0016117180057335645
insertionsort2,25,0.0016376109997509047
insertionsort2,25,0.0015854100056458265
insertionsort2,25,0.0015941039891913533
insertionsort2,50,0.004948083005729131
insertionsort2,50,0.00551254500169307
insertionsort2,50,0.006224195007234812
insertionsort2,50,0.008305694005684927
insertionsort2,50,0.0100649899977725
insertionsort2,50,0.006536914996104315
insertionsort2,50,0.005074145010439679
insertionsort2,50,0.00733559399668593
insertionsort2,50,0.004852458005188964
insertionsort2,50,0.004676409997045994
insertionsort2,100,0.02778711599239614
insertionsort2,100,0.0182871970027918
insertionsort2,100,0.04052800800127443
insertionsort2,100,0.022061539013520814
insertionsort2,100,0.02312667500518728
insertionsort2,100,0.016425406996859238
insertionsort2,100,0.020440125997993164
insertionsort2,100,0.021182465003221296
insertionsort2,100,0.024508345988579094
insertionsort2,100,0.02040279500943143
insertionsort2,150,0.04433251100999769
insertionsort2,150,0.04483524399984162
insertionsort2,150,0.04610551299992949
insertionsort2,150,0.05382273999566678
insertionsort2,150,0.04870002900133841
insertionsort2,150,0.04598720101057552
insertionsort2,150,0.03756613700534217
insertionsort2,150,0.04771386300853919
insertionsort2,150,0.049304444997687824
insertionsort2,150,0.04902795099769719
insertionsort2,200,0.07985237598768435
insertionsort2,200,0.08736232000228483
insertionsort2,200,0.09233037699596025
insertionsort2,200,0.07681331399362534
insertionsort2,200,0.07728979999956209
insertionsort2,200,0.08730446999834385
insertionsort2,200,0.07350896199932322
insertionsort2,200,0.08954149700002745
insertionsort2,200,0.08727206100593321
insertionsort2,200,0.07833823798864614
insertionsort2,250,0.12365690901060589
insertionsort2,250,0.12971382500836626
insertionsort2,250,0.13988025300204754
insertionsort2,250,0.12651142899994738
insertionsort2,250,0.12865998399502132
insertionsort2,250,0.11931735998950899
insertionsort2,250,0.1268739090010058
insertionsort2,250,0.12104224300128408
insertionsort2,250,0.11919613200007007
insertionsort2,250,0.11734450999938417
insertionsort2,300,0.1939723329996923
insertionsort2,300,0.18166809900139924
insertionsort2,300,0.17887111700838432
insertionsort2,300,0.1743437060067663
insertionsort2,300,0.16970140600460581
insertionsort2,300,0.17829917899507564
insertionsort2,300,0.18944159500824753
insertionsort2,300,0.17095710399735253
insertionsort2,300,0.2206167819967959
insertionsort2,300,0.17079065401048865
insertionsort3,10,0.0005716769956052303
insertionsort3,10,0.0008258940069936216
insertionsort3,10,0.0006903380126459524
insertionsort3,10,0.000646230997517705
insertionsort3,10,0.0006113980052759871
insertionsort3,10,0.0006298789958236739
insertionsort3,10,0.0006293100013863295
insertionsort3,10,0.0005285420047584921
insertionsort3,10,0.00036430099862627685
insertionsort3,10,0.0003650250000646338
insertionsort3,25,0.0013544969988288358
insertionsort3,25,0.001170676012407057
insertionsort3,25,0.0011604049941524863
insertionsort3,25,0.0011719970061676577
insertionsort3,25,0.0011803730012616143
insertionsort3,25,0.0012164770014351234
insertionsort3,25,0.0011621229932643473
insertionsort3,25,0.0012444540043361485
insertionsort3,25,0.001232958005857654
insertionsort3,25,0.0012804190046153963
insertionsort3,50,0.0036538959975587204
insertionsort3,50,0.003608758997870609
